epsilon,chebyshev_error,function_error,error_ratio,chebyshev_desired_error,chebyshev_non_desired_error,func_desired_error,func_non_desired_error
0.001,7.321978926071645e-07,7.191040191450002e-07,0.9821170292971748,6.418370271233109e-06,2.1426345278921213e-08,6.465347122885123e-06,8.236311774847883e-10
0.0011327842294266727,9.359695664924339e-07,9.22545544975e-07,0.9856576303354172,8.248952459246894e-06,2.184670489812647e-08,8.296320396192236e-06,8.236885728456156e-10
0.0012832001104377793,1.1973532621850359e-06,1.183600745826835e-06,0.9885142365310768,1.0598063563744675e-05,2.2264474490080825e-08,1.0645816614635617e-05,8.23762225737393e-10
0.0014535888483024812,1.532639078984829e-06,1.518585182278216e-06,0.9908302633677318,1.3612565630974627e-05,2.2648259986103907e-08,1.3660675786565247e-05,8.238567423370865e-10
0.001646602523427531,1.9627381651742352e-06,1.9484345705855464e-06,0.9927124285640927,1.7480914631812195e-05,2.2966106844490528e-08,1.752931931099302e-05,8.239780346122894e-10
0.0018652453706728685,2.514476879755801e-06,2.5000129443226257e-06,0.9942477357618098,2.2444861109830984e-05,2.3178850996403482e-08,2.2493523429375828e-05,8.241336909755036e-10
0.002112920539909334,3.2222928050968808e-06,3.2077911149381874e-06,0.9954995740499575,2.8814640223435707e-05,2.3249377804527904e-08,2.8863525366824007e-05,8.243334524603227e-10
0.002393483065640984,4.130385207841967e-06,4.116000188328286e-06,0.996517269264288,3.6988341781556655e-05,2.314063612763176e-08,3.703740497635728e-05,8.245898246608678e-10
0.0027112998701579096,5.2954783174011925e-06,5.2813944896074156e-06,0.9973404049739008,4.747673618837038e-05,2.282108353004434e-08,4.7525951055550966e-05,8.249188644716369e-10
0.0030713177341614656,6.7903732505662114e-06,6.776796178035589e-06,0.9980005410557528,6.093520207403514e-05,2.226964763259634e-08,6.098456287278349e-05,8.253411921016786e-10
0.003479140292816567,8.708769263792925e-06,8.695642428791338e-06,0.998492687703168,7.820468841691485e-05,2.1779369652683174e-08,7.825417479277196e-05,8.258832937599103e-10
0.003941115255665503,1.1170815365409992e-05,1.1157818288677158e-05,0.99883651494473,0.00010036416832766805,2.164624512774022e-08,0.00010041375196449469,8.265791999653348e-10
0.004464433207970751,1.433025241994886e-05,1.4317137958905105e-05,0.9990848408904858,0.0001287979550161215,2.178959542728159e-08,0.0001288476218489443,8.274726502044998e-10
0.005057239531317996,1.8384325325700216e-05,1.837093911762332e-05,0.9992718684074752,0.00016528210158138279,2.2103293739891505e-08,0.00016533182309949916,8.286198888363035e-10
0.005728761185510158,2.3586079469193003e-05,2.3572385037684063e-05,0.9994193850009355,0.00021209507786866736,2.2454669258712918e-08,0.00021214482459289385,8.300932828381813e-10
0.006489450325097556,3.0260142176506935e-05,3.0246235327657858e-05,0.9995404235456675,0.00027215971836035634,2.2695153525761984e-08,0.00027220946206081147,8.319860136612573e-10
0.007351146985918299,3.8822945377173926e-05,3.880905770387707e-05,0.9996422818216925,0.0003492251373029865,2.2671386447350332e-08,0.00034927484398945656,8.344181796359655e-10
0.008327263373845668,4.9808655310925066e-05,4.9795122193591034e-05,0.9997282978781589,0.00044809977319717207,2.2265575144171376e-08,0.00044814939938422535,8.375447617353851e-10
0.00943299262417472,6.3902676027194e-05,6.388956021943113e-05,0.999794753387835,0.0005749498193035903,2.178311764446877e-08,0.0005749993094463305,8.415660687149209e-10
0.010685545280963242,8.198401054531876e-05,8.197080188041499e-05,0.9998388873047815,0.0007376811533550047,2.186769410801355e-08,0.0007377304429916529,8.467415102402421e-10
0.01210441717709976,0.00010517846554083554,0.00010516484651369585,0.9998705150615227,0.0009464277783906356,2.2301434610525015e-08,0.0009464767913601919,8.534078838253075e-10
0.013711692884619932,0.0001349286635465316,0.00013491459857994126,0.9998957599799727,0.0012141758493786792,2.2765317513209356e-08,0.0012142244911885975,8.620038592065743e-10
0.015532389458439372,0.00017308258251038966,0.00017306833969498746,0.9999177108684443,0.0015575599248199342,2.29147216965397e-08,0.0015576080724301474,8.731030925097759e-10
0.01759484582383321,0.00022200651713107618,0.00022199243502314867,0.999936568943518,0.0019978773115727237,2.2667825870329915e-08,0.001997924815531936,8.874595502619638e-10
0.019931163868432012,0.0002847290633332609,0.00028471461064848207,0.9999492405706336,0.0025623775708415336,2.299989472693508e-08,0.0025624242472730074,9.060704163991352e-10
0.022577708104278487,0.000365120855902948,0.0003651055973115019,0.99995820947722,0.003285897311567127,2.379894492559974e-08,0.0032859429336850312,9.30264810834704e-10
0.025575671677125437,0.0004681245393372395,0.00046810859589946303,0.9999659418884576,0.004212925390272757,2.4432970299813414e-08,0.004212969668445699,9.61831183390978e-10
0.028971717532842105,0.0006000439342630274,0.0006000278070155818,0.9999731232222764,0.005400199656823582,2.4468942957783194e-08,0.005400242237508878,1.0032039197281034e-09
0.032818704720607765,0.000768905797833836,0.0007688890068737624,0.9999781625263838,0.006919952145278654,2.5004403233565808e-08,0.006919992599922615,1.0577426558495799e-09
0.037176511137715154,0.0009849041515239863,0.0009848864987844841,0.9999820766929708,0.008863931630875356,2.571660506489415e-08,0.008863969447779098,1.1301601571980235e-09
0.042112965521908755,0.0012609489690319086,0.0012609310918065824,0.9999858224037885,0.011348335432097316,2.5661148732650897e-08,0.011348370008706626,1.2271940770752512e-09
