epsilon,chebyshev_error,function_error,error_ratio,chebyshev_desired_error,chebyshev_non_desired_error,func_desired_error,func_non_desired_error
0.001,0.0008469215802165518,1.7092314113735292e-06,0.0020181696290422673,0.0024198998277276088,0.0006502992992776699,7.4558704937039645e-06,9.90901526082225e-07
0.0011327842294266727,0.0008561516473466625,1.7162876062525432e-06,0.0020046537451298098,0.002419748281736131,0.0006607020680479789,7.456332474052374e-06,9.987819977775643e-07
0.0012832001104377793,0.0008653153286399296,1.724287894646052e-06,0.0019926699985266913,0.0024195563122847807,0.0006710352056843231,7.456888642739556e-06,1.007712801134364e-06
0.0014535888483024812,0.000873720036761254,1.7333596336363219e-06,0.001983884494696516,0.0024193128069290226,0.000680520940490283,7.457560809899044e-06,1.0178344866034817e-06
0.001646602523427531,0.0008806598372012778,1.7436476448831368e-06,0.001979933194665059,0.002419003553287925,0.0006883668726904469,7.458376317806703e-06,1.0293065607676898e-06
0.0018652453706728685,0.0008852711679749426,1.7553166851452996e-06,0.0019828011446036196,0.0024186103689636204,0.000693603767851358,7.459369523015513e-06,1.0423100804115234e-06
0.002112920539909334,0.0008867365840000597,1.7685542854110121e-06,0.001994452825475049,0.0024181099870641174,0.0006953149086170528,7.460583687641742e-06,1.057050610132171e-06
0.002393483065640984,0.0008842331041525726,1.7835740180519754e-06,0.0020170857771280902,0.0024174726289925242,0.0006925781635475786,7.462073394800561e-06,1.0737615959584027e-06
0.0027112998701579096,0.0008770599897841058,1.8006192618167922e-06,0.0020530172197913473,0.0024166601773139566,0.0006846099663428743,7.463907635849776e-06,1.092708215062669e-06
0.0030713177341614656,0.0008647440440720183,1.8199675467987406e-06,0.002104631490988527,0.002415623837632127,0.0006708840698770046,7.466173759339367e-06,1.1141917702311628e-06
0.003479140292816567,0.0008537573293036534,1.8419355760750647e-06,0.002157446282279527,0.0024143011482736475,0.0006586893519324041,7.468982526191925e-06,1.1385547073104565e-06
0.003941115255665503,0.000850589254394142,1.8668850378710575e-06,0.002194813804931974,0.002412612158740885,0.0006553363913507991,7.472474586296995e-06,1.1661863443178146e-06
0.004464433207970751,0.0008534452329693773,1.8952293422672643e-06,0.002220680682313059,0.0024104545506996033,0.0006588190682530993,7.476828783556733e-06,1.1975294121060806e-06
0.005057239531317996,0.0008599665535611777,1.9274414400672353e-06,0.0022412981436145097,0.0024076974169281746,0.0006665001956403032,7.4822728162395434e-06,1.2330875180456965e-06
0.005728761185510158,0.0008671946403544211,1.9640629088787345e-06,0.00226484668779321,0.002404173342424363,0.0006750723025956783,7.489096936155592e-06,1.2734336554691277e-06
0.006489450325097556,0.0008718291301280697,2.0057145232085674e-06,0.0023005821369078737,0.0023996683463932728,0.0006808492280949194,7.4976715766395756e-06,1.3192198915296913e-06
0.007351146985918299,0.0008704550348548357,2.053108561807822e-06,0.002358661251411126,0.0023939091438423903,0.0006800232712313913,7.508470072734452e-06,1.3711883729419934e-06
0.008327263373845668,0.0008612056102933375,2.10706314709959e-06,0.0024466435447185455,0.0023865470729698282,0.0006705379274587762,7.522098002405997e-06,1.4301837901862887e-06
0.00943299262417472,0.0008509443732814412,2.168518958747203e-06,0.0025483674689391095,0.002377137915783684,0.000660170180468661,7.539331170106511e-06,1.4971674323272894e-06
0.010685545280963242,0.0008534177640372306,2.238558717228176e-06,0.0026230514661873365,0.0023651167286417325,0.0006644553934616681,7.561164926127261e-06,1.5732329411157902e-06
0.01210441717709976,0.0008637494935407649,2.318429895407848e-06,0.0026841461705568326,0.002349766724571867,0.000677997339661877,7.5888784435524494e-06,1.6596238268897723e-06
0.013711692884619932,0.0008748261299862045,2.4095711905928524e-06,0.0027543429579896636,0.0023301812614359625,0.0006929067385549849,7.6241188765249434e-06,1.7577527298513408e-06
0.015532389458439372,0.000878642916045666,2.513643385136035e-06,0.0028608247323596387,0.0023052181786040672,0.000700321008225866,7.669012178985856e-06,1.869222285904807e-06
0.01759484582383321,0.000873661073640488,2.634015039629285e-06,0.0030149163320891915,0.002273446240808474,0.0006986879277444897,7.726310054499552e-06,1.9974781627705015e-06
0.019931163868432012,0.0008819018576561837,2.7770879166407515e-06,0.0031489761502729715,0.002233084538944275,0.0007130040224951723,7.799586485053323e-06,2.14927559558918e-06
0.022577708104278487,0.0009004097306895345,2.9453297643224938e-06,0.003271099438326769,0.002181937758442527,0.0007402187272204105,7.893503279303937e-06,2.3268080749498142e-06
0.025575671677125437,0.0009147887561203131,3.1417812370912697e-06,0.0034344335958126516,0.002117333865035684,0.0007644706175058916,8.014173289571325e-06,2.5327322305312626e-06
0.028971717532842105,0.0009147958393483653,3.3701640074028043e-06,0.0036840613636846737,0.0020360768753376647,0.0007746357098497026,8.169664383912578e-06,2.7702264603390826e-06
0.032818704720607765,0.0009237058423881563,3.6341882337964433e-06,0.003934356660991322,0.00193443722959764,0.0007973644189869709,8.370710354286814e-06,3.0421229687351475e-06
0.037176511137715154,0.0009335754289975143,3.9386168008154215e-06,0.004218852251761553,0.0018082174489687072,0.0008242451765011154,8.631732650123113e-06,3.3519773196519602e-06
0.042112965521908755,0.0009223369865854345,4.289099420068979e-06,0.0046502520038229946,0.0016529528689881935,0.0008310100012850897,8.972339703528775e-06,3.7036943846365056e-06
0.04770490319760745,0.0009080030241084401,4.692289687403755e-06,0.005167702708932133,0.0014746191349769688,0.0008371760102498739,9.419577783241584e-06,4.1013786754240265e-06
0.05403936200857574,0.0008981993311576443,5.15624367734534e-06,0.005740645198098417,0.00135892749487822,0.0008406083106925722,1.001139428741864e-05,4.549349851086178e-06
0.061214937051593456,0.000874521847749608,5.690830384082606e-06,0.006507362164509351,0.0013222276071724384,0.000818558627821754,1.0802108876906203e-05,5.051920572479658e-06
0.06934331529739157,0.0008667527665980801,6.309128705266514e-06,0.007279040746566322,0.0013550871217048875,0.0008057109722097291,1.1871302844579045e-05,5.613856937852448e-06
0.07855101398504648,0.0008580042592471281,7.029664681873896e-06,0.008193041708257028,0.001445139086940362,0.0007846124057854735,1.3338702271728964e-05,6.241034983142014e-06
0.08898134984773462,0.0008755298398047793,7.880785284169623e-06,0.009001161269302753,0.0015668203865783924,0.0007891185214580775,1.53899120172727e-05,6.94214444253174e-06
0.1007966698206112,0.0009014747737148821,8.909078292245241e-06,0.009882781584150018,0.0016839692087593171,0.0008036629693343273,1.8322490008525382e-05,7.732401827710223e-06
0.11418087795151581,0.0009310140590654805,1.0196851786116657e-05,0.010952414398931744,0.0017483659956549764,0.0008288450669917936,2.2631639685544736e-05,8.642503298688148e-06
0.1293422978455688,0.0009194760260577821,1.1897267145561104e-05,0.01293918145595397,0.0017034696465607815,0.0008214768234949072,2.9176407480108503e-05,9.737374603742679e-06
0.1465169151972677,0.0008868345030447623,1.4309183883441534e-05,0.016135123108442354,0.0015458405714378425,0.0008044587444956272,3.951732878532097e-05,1.1158165770706602e-05
0.16597205087971004,0.0008934215495828866,1.8039920771210923e-05,0.020191947216443632,0.0015470599473076437,0.0008117167498672918,5.6638722714234224e-05,1.3215070528333004e-05
0.18801052176213684,0.0009279283160423366,2.4375673476268758e-05,0.026268918681382952,0.0016703076020286114,0.0008351309052940524,8.658534296942312e-05,1.6599464789624463e-05
0.21297535401842865,0.0009198150643585125,3.626704634216847e-05,0.039428628370488196,0.0017263688106534064,0.0008189958460716508,0.00014241671204631611,2.2998338129150007e-05
0.24125512228863855,0.0009069534864901821,6.100131360281045e-05,0.06725958333197365,0.0016903264344780488,0.000809031867991699,0.0002544691538723608,3.681783356911665e-05
0.2732899977969731,0.0009569128393826707,0.00011557112762840946,0.12077497852674586,0.0021376082409677983,0.00080932591418453,0.0004991772452950767,6.762036292007602e-05
0.30957859956446093,0.0011103973804490752,0.00024659982145321883,0.2220824956859022,0.0029954753801619913,0.0008747626304849605,0.0010872369122174883,0.00014152018510768516
0.3506857553546164,0.0014344552980870913,0.0005957243063647426,0.4152965290442769,0.004190864017215717,0.001089904208196013,0.002657314381102049,0.0003380255470225792
0.3972512931502898,0.0023170894021085713,0.0016302038653382956,0.7035567396988636,0.007884934976392413,0.0016211087053230916,0.007313624532656357,0.0009197762819235378
0.45,0.0055994030318195775,0.004896849858097819,0.8745307009105474,0.022794337028154303,0.003450036282277737,0.022014779792412464,0.002757108616308489
