epsilon,chebyshev_error,function_error,error_ratio,chebyshev_desired_error,chebyshev_non_desired_error,func_desired_error,func_non_desired_error
0.001,0.0019856508600966175,7.191040191450002e-07,0.00036215028210448343,0.011320625889889488,0.0008187789813725093,6.465347122885123e-06,8.236311774847883e-10
0.0011327842294266727,0.001983933727421332,9.22545544975e-07,0.0004650082471122167,0.011322281958583189,0.0008166401985261001,8.296320396192236e-06,8.236885728456156e-10
0.0012832001104377793,0.0019820800846246734,1.183600745826835e-06,0.0005971508189846737,0.01132440887767121,0.0008142889854938565,1.0645816614635617e-05,8.23762225737393e-10
0.0014535888483024812,0.001980203533914302,1.518585182278216e-06,0.0007668833815665417,0.011327140234640985,0.0008118364463234663,1.3660675786565247e-05,8.238567423370865e-10
0.001646602523427531,0.001979012220053653,1.9484345705855464e-06,0.0009845490345343712,0.01133064747905027,0.0008100578126790759,1.752931931099302e-05,8.239780346122894e-10
0.0018652453706728685,0.0019785918848687903,2.5000129443226257e-06,0.001263531384840595,0.011335150647669212,0.0008090220395187376,2.2493523429375828e-05,8.241336909755036e-10
0.002112920539909334,0.001978904036848426,3.2077911149381874e-06,0.0016209937698883415,0.0113409321264212,0.0008086505256518297,2.8863525366824007e-05,8.243334524603227e-10
0.002393483065640984,0.0019799444294229893,4.116000188328286e-06,0.002078846318695824,0.011348354308479382,0.00080889319454094,3.703740497635728e-05,8.245898246608678e-10
0.0027112998701579096,0.001981709427887716,5.2813944896074156e-06,0.00266507007298078,0.011357882250775168,0.0008096878250267844,4.7525951055550966e-05,8.249188644716369e-10
0.0030713177341614656,0.0019841905131344037,6.776796178035589e-06,0.003415395917466796,0.01137011274255232,0.0008109502344571647,6.098456287278349e-05,8.253411921016786e-10
0.003479140292816567,0.001987386494893435,8.695642428791338e-06,0.004375415879666428,0.01138581159864795,0.0008125833569241203,7.825417479277196e-05,8.258832937599103e-10
0.003941115255665503,0.0019913056252652134,1.1157818288677158e-05,0.005603267598458723,0.011405961501394682,0.0008144736407490299,0.00010041375196449469,8.265791999653348e-10
0.004464433207970751,0.0019959629060977984,1.4317137958905105e-05,0.007173048113852869,0.011431823369634596,0.0008164803481556981,0.0001288476218489443,8.274726502044998e-10
0.005057239531317996,0.002001416157176195,1.837093911762332e-05,0.009178970126604223,0.011465015071020122,0.0008184662929457033,0.00016533182309949916,8.286198888363035e-10
0.005728761185510158,0.0020077431125639597,2.3572385037684063e-05,0.011740737592460863,0.011507612364915095,0.0008202594560200677,0.00021214482459289385,8.300932828381813e-10
0.006489450325097556,0.0020150816608707697,3.0246235327657858e-05,0.015009930324405644,0.011562278331472869,0.0008216820770455081,0.00027220946206081147,8.319860136612573e-10
0.007351146985918299,0.0020236123050023985,3.880905770387707e-05,0.019178109170388282,0.011632429287981583,0.0008225101821300002,0.00034927484398945656,8.344181796359655e-10
0.008327263373845668,0.0020336105690452167,4.9795122193591034e-05,0.02448606579428328,0.011722447416554154,0.0008225059631065991,0.00044814939938422535,8.375447617353851e-10
0.00943299262417472,0.0020455148518912537,6.388956021943113e-05,0.03123397523139945,0.011837953152046552,0.0008214600643718405,0.0005749993094463305,8.415660687149209e-10
0.010685545280963242,0.0020599449171472954,8.197080188041499e-05,0.039792715425581306,0.011986153958274575,0.0008191687870063849,0.0007377304429916529,8.467415102402421e-10
0.01210441717709976,0.002077783748882627,0.00010516484651369585,0.05061395179852114,0.012176290638447438,0.0008154703876870259,0.0009464767913601919,8.534078838253075e-10
0.013711692884619932,0.0021013136082926155,0.00013491459857994126,0.06420488500503439,0.0124202079998925,0.0008114518093426305,0.0012142244911885975,8.620038592065743e-10
0.015532389458439372,0.002133765795079343,0.00017306833969498746,0.08110934203467818,0.012733083772073668,0.000808851047955053,0.0015576080724301474,8.731030925097759e-10
0.01759484582383321,0.002176888423364197,0.00022199243502314867,0.10197694683868001,0.013134358429076027,0.0008072046726502189,0.001997924815531936,8.874595502619638e-10
0.019931163868432012,0.002232861119962412,0.00028471461064848207,0.12751111482172028,0.013648919255529421,0.0008058538530165361,0.0025624242472730074,9.060704163991352e-10
0.022577708104278487,0.0023045401907992873,0.0003651055973115019,0.15842882617936543,0.014308604821577055,0.0008040321119520666,0.0032859429336850312,9.30264810834704e-10
0.025575671677125437,0.00239556936154942,0.00046810859589946303,0.1954059871581832,0.015154111042517593,0.0008007516514283975,0.004212969668445699,9.61831183390978e-10
0.028971717532842105,0.002510751948336589,0.0006000278070155818,0.23898330833243375,0.016237396900945184,0.0007949213292605143,0.005400242237508878,1.0032039197281034e-09
0.032818704720607765,0.002656536822416962,0.0007688890068737624,0.28943284368790123,0.01762470577219159,0.0007855157036951335,0.006919992599922615,1.0577426558495799e-09
0.037176511137715154,0.002842632674374836,0.0009848864987844841,0.3464698438397725,0.019400335037553625,0.0007729198789774876,0.008863969447779098,1.1301601571980235e-09
0.042112965521908755,0.0030834838180909597,0.0012609310918065824,0.40893066615385953,0.021671298237558177,0.000760007015657557,0.011348370008706626,1.2271940770752512e-09
0.04770490319760745,0.0033939891328030043,0.0016133119642785488,0.4753438803577305,0.024573023064128997,0.0007466098913872549,0.014519796808992836,1.3586892627309066e-09
0.05403936200857574,0.00379177968705988,0.0020624795556790643,0.5439344386799796,0.02827620236636775,0.0007312268521463958,0.01856230368599347,1.5393897627481936e-09
0.061214937051593456,0.004298202661584588,0.0026339441335467735,0.6128012894989311,0.03299484312304834,0.0007111226039016187,0.02370548286597828,1.7919928350713142e-09
0.06934331529739157,0.00494118162541131,0.0033592610633687513,0.6798497440557293,0.038995406681927816,0.0006844034933467469,0.03023333235018922,2.1525161931071626e-09
0.07855101398504648,0.0057647310567489705,0.004277032854218762,0.7419310306265704,0.04660665154794716,0.0006594909953491974,0.038493274247596534,2.6800465410712195e-09
0.08898134984773462,0.006812945885764887,0.005433791577739653,0.7975685802955125,0.056229303793165125,0.0006359011473398562,0.04890409639897421,3.4750853343704323e-09
0.1007966698206112,0.008135437305588564,0.006884523958732041,0.8462389543587019,0.06834389069083979,0.0006093806324321592,0.06196067790521221,4.715422019803234e-09
0.11418087795151581,0.009797599005751901,0.008692457962974895,0.8872028706085839,0.08351386417959107,0.0005830658590220063,0.07823206783283045,6.729242950989044e-09
0.1293422978455688,0.011879534295921255,0.01092754619309799,0.9198631798933294,0.10237941312271928,0.0005670494425715011,0.09834783453057344,1.0150913559398885e-08
0.1465169151972677,0.014457082717360055,0.013662884589706386,0.9450651183796579,0.12563512573350036,0.000559827340342518,0.12296583115407204,1.6269160678764538e-08
0.16597205087971004,0.017613655529445472,0.016968171704686022,0.963353216276975,0.15398222845694087,0.0005675839135085481,0.15271332257504927,2.784589061508568e-08
0.18801052176213684,0.021418286005430578,0.020899404818493558,0.9757739164186406,0.18804447391162407,0.0005900125171563934,0.18809423418207843,5.1148045449343726e-08
0.21297535401842865,0.025911830622866415,0.02548459193114032,0.983511829096742,0.22823807888547085,0.000621049590040859,0.2293605171391258,1.0128014213172224e-07
0.24125512228863855,0.03107938956245713,0.03070666647082984,0.9880073869894302,0.2745944311160278,0.0006400093682608025,0.2763582621771475,2.1700754013506216e-07
