epsilon,chebyshev_error,function_error,error_ratio,chebyshev_desired_error,chebyshev_non_desired_error,func_desired_error,func_non_desired_error
0.001,1.3786364695389923e-05,1.7092314113735292e-06,0.12397984886799679,3.4675228149603666e-06,1.5076219930443619e-05,7.4558704937039645e-06,9.90901526082225e-07
0.0011327842294266727,1.3833801281319609e-05,1.7162876062525432e-06,0.1240647867748485,3.4695484120271345e-06,1.512933288998117e-05,7.456332474052374e-06,9.987819977775643e-07
0.0012832001104377793,1.3897493030286808e-05,1.724287894646052e-06,0.12407186611918504,3.471991009913378e-06,1.5200680782833486e-05,7.456888642739556e-06,1.007712801134364e-06
0.0014535888483024812,1.3951095563372046e-05,1.7333596336363219e-06,0.12424541325537022,3.474947757493574e-06,1.526061403910685e-05,7.457560809899044e-06,1.0178344866034817e-06
0.001646602523427531,1.3965207161957337e-05,1.7436476448831368e-06,0.12485655419656162,3.4785404567338253e-06,1.527604050011028e-05,7.458376317806703e-06,1.0293065607676898e-06
0.0018652453706728685,1.3913707494530706e-05,1.7553166851452996e-06,0.1261573657370109,3.4829221214227603e-06,1.5217555666169202e-05,7.459369523015513e-06,1.0423100804115234e-06
0.002112920539909334,1.3806494916124921e-05,1.7685542854110121e-06,0.12809581984095594,3.488285312368766e-06,1.509627111659444e-05,7.460583687641742e-06,1.057050610132171e-06
0.002393483065640984,1.3781646804657301e-05,1.7835740180519754e-06,0.12941661060775722,3.4948727270517453e-06,1.5067493564357997e-05,7.462073394800561e-06,1.0737615959584027e-06
0.0027112998701579096,1.3828156979986075e-05,1.8006192618167922e-06,0.13021397315801989,3.502990644956716e-06,1.5118802771864745e-05,7.463907635849776e-06,1.092708215062669e-06
0.0030713177341614656,1.3891041403201518e-05,1.8199675467987406e-06,0.13101735816432641,3.513025981370865e-06,1.5188293330930352e-05,7.466173759339367e-06,1.1141917702311628e-06
0.003479140292816567,1.3903600597822004e-05,1.8419355760750647e-06,0.13247903398229113,3.5254678860087928e-06,1.520086718679865e-05,7.468982526191925e-06,1.1385547073104565e-06
0.003941115255665503,1.3810636811749485e-05,1.8668850378710575e-06,0.13517733203169846,3.5409350409169482e-06,1.5094349533103551e-05,7.472474586296995e-06,1.1661863443178146e-06
0.004464433207970751,1.3699320796607744e-05,1.8952293422672643e-06,0.1383447668979739,3.5602100641487054e-06,1.496670963816512e-05,7.476828783556733e-06,1.1975294121060806e-06
0.005057239531317996,1.3683595420079516e-05,1.9274414400672353e-06,0.14085782142015676,3.5842827045956315e-06,1.4946009509515004e-05,7.4822728162395434e-06,1.2330875180456965e-06
0.005728761185510158,1.365580867902988e-05,1.9640629088787345e-06,0.1438261881842843,3.6144037998920743e-06,1.4910984288922103e-05,7.489096936155592e-06,1.2734336554691277e-06
0.006489450325097556,1.350955031763208e-05,2.0057145232085674e-06,0.1484664164277027,3.667185042267218e-06,1.473984597705269e-05,7.4976715766395756e-06,1.3192198915296913e-06
0.007351146985918299,1.3410868105145164e-05,2.053108561807822e-06,0.15309289046099364,3.772372133793378e-06,1.4615680101564136e-05,7.508470072734452e-06,1.3711883729419934e-06
0.008327263373845668,1.3398511185483147e-05,2.10706314709959e-06,0.15726099101089117,3.9281727023125715e-06,1.4582303495879473e-05,7.522098002405997e-06,1.4301837901862887e-06
0.00943299262417472,1.3297252496468534e-05,2.168518958747203e-06,0.16308022723665022,4.135032014211771e-06,1.4442530056750628e-05,7.539331170106511e-06,1.4971674323272894e-06
0.010685545280963242,1.3045558955907484e-05,2.238558717228176e-06,0.17159546208746224,4.3945997124719134e-06,1.4126928861336927e-05,7.561164926127261e-06,1.5732329411157902e-06
0.01210441717709976,1.2842062700767706e-05,2.318429895407848e-06,0.18053407380336578,4.702900146047273e-06,1.385945802010776e-05,7.5888784435524494e-06,1.6596238268897723e-06
0.013711692884619932,1.2513750534150901e-05,2.4095711905928524e-06,0.19255387775367297,5.0581491177164815e-06,1.3445700711205204e-05,7.6241188765249434e-06,1.7577527298513408e-06
0.015532389458439372,1.2255007211493078e-05,2.513643385136035e-06,0.20511153863529938,5.456368964891378e-06,1.3104836992318292e-05,7.669012178985856e-06,1.869222285904807e-06
0.01759484582383321,1.192508834482201e-05,2.634015039629285e-06,0.2208801279676054,5.890409275862641e-06,1.267942322844193e-05,7.726310054499552e-06,1.9974781627705015e-06
0.019931163868432012,1.1374129098811948e-05,2.7770879166407515e-06,0.244158290495474,6.348610269359767e-06,1.2002318952493468e-05,7.799586485053323e-06,2.14927559558918e-06
0.022577708104278487,1.0780921190404954e-05,2.9453297643224938e-06,0.27319833920535885,6.811606569213224e-06,1.1277085518053917e-05,7.893503279303937e-06,2.3268080749498142e-06
0.025575671677125437,1.0380199667359502e-05,3.1417812370912697e-06,0.3026705976543581,7.252671374248421e-06,1.0771140703998385e-05,8.014173289571325e-06,2.5327322305312626e-06
0.028971717532842105,1.014952943987271e-05,3.3701640074028043e-06,0.3320512568950262,7.642712584313383e-06,1.0462881546817629e-05,8.169664383912578e-06,2.7702264603390826e-06
0.032818704720607765,9.862189549772184e-06,3.6341882337964433e-06,0.3684970984846253,8.099587709869804e-06,1.008251477975998e-05,8.370710354286814e-06,3.0421229687351475e-06
0.037176511137715154,9.901561119758348e-06,3.9386168008154215e-06,0.39777735583088997,8.688740652890747e-06,1.0053163678116798e-05,8.631732650123113e-06,3.3519773196519602e-06
0.042112965521908755,1.0275052881924043e-05,4.289099420068979e-06,0.4174284521313168,9.4054876422475e-06,1.0383748536883612e-05,8.972339703528775e-06,3.7036943846365056e-06
0.04770490319760745,1.0453647069134295e-05,4.692289687403755e-06,0.4488662814395494,1.0244215521264666e-05,1.0479826012618e-05,9.419577783241584e-06,4.1013786754240265e-06
0.05403936200857574,1.0869598392227373e-05,5.15624367734534e-06,0.4743729704891824,1.119019947479496e-05,1.0829523256906426e-05,1.001139428741864e-05,4.549349851086178e-06
0.061214937051593456,1.12726117323801e-05,5.690830384082606e-06,0.5048369019697482,1.2218171691075474e-05,1.1154416737543176e-05,1.0802108876906203e-05,5.051920572479658e-06
0.06934331529739157,1.1384761588891025e-05,6.309128705266514e-06,0.554173107271988,1.3332340795717457e-05,1.114131418803772e-05,1.1871302844579045e-05,5.613856937852448e-06
0.07855101398504648,1.1676981021732385e-05,7.029664681873896e-06,0.6020104570514222,1.459716631358895e-05,1.1311957860250312e-05,1.3338702271728964e-05,6.241034983142014e-06
0.08898134984773462,1.2143710532196086e-05,7.880785284169623e-06,0.6489602385758162,1.6209672803326713e-05,1.1635465248304757e-05,1.53899120172727e-05,6.94214444253174e-06
0.1007966698206112,1.3248339051175706e-05,8.909078292245241e-06,0.6724675642607906,1.859314471349125e-05,1.2580238343386263e-05,1.8322490008525382e-05,7.732401827710223e-06
0.11418087795151581,1.4423700827840413e-05,1.0196851786116657e-05,0.7069511429712162,2.2489252493434297e-05,1.341550686964118e-05,2.2631639685544736e-05,8.642503298688148e-06
0.1293422978455688,1.586035577450593e-05,1.1897267145561104e-05,0.7501261204168492,2.9030071788265787e-05,1.421414127278595e-05,2.9176407480108503e-05,9.737374603742679e-06
0.1465169151972677,1.7966995198627866e-05,1.4309183883441534e-05,0.7964149667349119,3.9804510708330254e-05,1.5237305759915062e-05,3.951732878532097e-05,1.1158165770706602e-05
0.16597205087971004,2.103674667838723e-05,1.8039920771210923e-05,0.8575432811455018,5.73327883717534e-05,1.649974146671646e-05,5.6638722714234224e-05,1.3215070528333004e-05
0.18801052176213684,2.7279134108553632e-05,2.4375673476268758e-05,0.893564780292111,8.702865799335314e-05,1.981044362295369e-05,8.658534296942312e-05,1.6599464789624463e-05
0.21297535401842865,4.022298589412436e-05,3.626704634216847e-05,0.9016497790002765,0.00014230455320624852,2.7462789980108837e-05,0.00014241671204631611,2.2998338129150007e-05
0.24125512228863855,6.456495227960626e-05,6.100131360281045e-05,0.9448053696165832,0.0002546323243794713,4.080653076712314e-05,0.0002544691538723608,3.681783356911665e-05
0.2732899977969731,0.00011830061545451193,0.00011557112762840946,0.9769275264070626,0.000499521604256241,7.064799185429583e-05,0.0004991772452950767,6.762036292007602e-05
0.30957859956446093,0.0002499816693146289,0.00024659982145321883,0.9864716166162021,0.001087253548138942,0.0001453226844615898,0.0010872369122174883,0.00014152018510768516
0.3506857553546164,0.000598252106133305,0.0005957243063647426,0.9957746914007534,0.0026571029432843484,0.00034089575148942486,0.002657314381102049,0.0003380255470225792
0.3972512931502898,0.001633385415872241,0.0016302038653382956,0.9980521740288428,0.0073148061433884765,0.0009232078249327117,0.007313624532656357,0.0009197762819235378
0.45,0.004899156054267809,0.004896849858097819,0.9995292666442048,0.022012331379031618,0.0027600091386723326,0.022014779792412464,0.002757108616308489
